"","as.numeric.nodes.StartId."
"1",6262900
"2",6253104
"3",6240800
"4",6237900
"5",6240004
"6",6238900
"7",6253500
"8",6267400
"9",6254200
"10",6269200
"11",6255900
"12",6251400
"13",6245300
"14",6259102
"15",182906600
"16",6264700
"17",6267300
"18",6253000
"19",216823100
"20",6250800
"21",6271302
"22",6270700
"23",6252000
"24",143151700
"25",6263002
"26",6249800
"27",6267200
"28",6244900
"29",6252200
"30",6274300
"31",6268400
"32",2702500
"33",6257801
"34",2702702
"35",6265200
"36",6259600
"37",6262100
"38",6277200
"39",6241701
"40",6262200
"41",6263001
"42",6235800
"43",6244400
"44",6277000
"45",6256600
"46",6254100
"47",6255300
"48",6247600
"49",6269500
"50",173937900
"51",6257204
"52",6276700
"53",6242500
"54",6261300
"55",6248000
"56",6240100
"57",215636200
"58",6262400
"59",6266500
"60",6278201
"61",6242802
"62",6248800
"63",279310403
"64",6243400
"65",6273300
"66",6275100
"67",6255600
"68",6239800
"69",6271100
"70",6257203
"71",6272600
"72",6264200
"73",6242200
"74",6276400
"75",6277001
"76",183101500
"77",31824800
"78",279757300
"79",6242204
"80",6257900
"81",6246900
"82",6256100
"83",6235700
"84",6242800
"85",6265901
"86",6240500
"87",6271500
"88",173938100
"89",2701700
"90",6272400
"91",6240502
"92",6249200
"93",6264001
"94",6263100
"95",6242203
"96",6269300
"97",6237600
"98",6242201
"99",6257802
"100",6264901
"101",6274202
"102",6276600
"103",6270100
"104",6247400
"105",6274203
"106",6234300
"107",6276401
"108",6237800
"109",6249500
"110",6269800
"111",97533900
"112",6264100
"113",6236800
"114",6245800
"115",6278202
"116",6248200
"117",6261800
"118",6240900
"119",19164501
"120",6278000
"121",6278500
"122",6253600
"123",279310401
"124",6270000
"125",6246500
"126",6242202
"127",2701600
"128",6243700
"129",667985900
"130",6258500
"131",6253901
"132",6248500
"133",189150600
"134",6255903
"135",6271600
"136",6276402
"137",214517900
"138",208353500
"139",6252100
"140",6265801
"141",6256500
"142",6248400
"143",6248900
"144",6254000
"145",6262300
"146",6249300
"147",6270600
"148",6242801
"149",6235400
"150",6242804
"151",6240400
"152",2702600
"153",6257300
"154",6259103
"155",6259800
"156",6252300
"157",2701400
"158",6246800
"159",6254700
"160",6244700
"161",279698000
"162",6260300
"163",6243100
"164",6255500
"165",6257800
"166",6269101
"167",6263600
"168",6239600
"169",6239400
"170",182906500
"171",6254600
"172",279310400
"173",6240002
"174",6246400
"175",6241702
"176",6276500
"177",6235000
"178",6272500
"179",6258600
"180",6237100
"181",6243703
