"AGS5","krs_WZ_gesamt","krs_homeoffice_WZ","krsanteil_homeoffice_WZ","krs_KldB_gesamt","krs_homeoffice_KldB","krsanteil_homeoffice_KldB"
1001,44729,25231.41796875,0.564095284239531,44608,24954.70703125,0.559422234380604
1002,126421,73647.6953125,0.582559031430696,126253,74694.796875,0.591627896960864
1003,100576,54408.76171875,0.540971620652541,98915,53396.7421875,0.539824517894152
1004,41297,21842.708984375,0.528917572326682,41275,21052.267578125,0.510048881359782
1051,43410,22637.775390625,0.52148756946844,43341,21074.857421875,0.486256833526568
1053,49055,26197.857421875,0.534050706795943,48784,24960.630859375,0.511656093378464
1054,60964,32172.3515625,0.52772704485434,60963,30027.013671875,0.492544882500451
1055,61666,31796.173828125,0.515619203906934,61029,29862.943359375,0.489323819157696
1056,93458,50622.55859375,0.541661051956494,92863,50200.08984375,0.540582253898216
1057,27827,14660.5654296875,0.526846782969328,27354,13399.6494140625,0.489860693648552
1058,79950,43248.0859375,0.540939161194497,79317,41195.1640625,0.519373703777248
1059,56712,29586.97265625,0.521705682329137,56344,28063.99609375,0.498083133851874
1060,93338,50738.07421875,0.54359504402012,92742,49644.24609375,0.535294107241056
1061,40015,22015.123046875,0.550171761761215,39912,20884.6171875,0.523266616243235
1062,87167,47762.96484375,0.547947788082072,87112,47458.4453125,0.544798022230003
2000,1003091,589068.0625,0.587252863897692,1001513,618119.9375,0.61718613487793
3101,133029,78477.3984375,0.589926996651106,131681,77358.140625,0.587466229942057
3102,48719,25556.30078125,0.52456538067797,48664,24722.044921875,0.50801506086378
3103,122076,69156.4296875,0.566503077488614,121659,69384.6328125,0.570320591263285
3151,43537,23985.73828125,0.550927677176884,43008,23130.68359375,0.537822814214797
3153,45819,24345.544921875,0.531341690605971,45728,23357.654296875,0.510795449109408
3154,23483,12322.271484375,0.524731571109952,23408,11705.2138671875,0.500051856937265
3155,45828,23919.265625,0.521935620690408,45828,23634.0390625,0.515711771460679
3157,33261,17172.982421875,0.516309865063438,32650,15941.8583984375,0.488265188313553
3158,25366,13721.548828125,0.5409425541325,25355,13418.3544921875,0.529219266108756
3159,131660,72697.203125,0.552158614043749,129292,70358.8671875,0.544185774738576
3241,522433,298241.125,0.570869613902644,521498,301918,0.578943735162935
3251,72066,38459.43359375,0.533669602777315,72061,36201.98046875,0.502379657078725
3252,52334,29155.6328125,0.557106905883365,52330,28819.43359375,0.550724891911905
3254,93514,51300.7734375,0.54858923195992,92348,49515.703125,0.536185982641746
3255,23022,12264.5888671875,0.532733423125163,23022,11582.2685546875,0.503095671735188
3256,40843,21203.05859375,0.519135680379747,40132,19965.337890625,0.497491724574529
3257,45876,24207.84375,0.527679914334292,44590,22332.4296875,0.500839418871944
3351,57931,31114.220703125,0.537091034215273,56995,30273.306640625,0.531157235557944
3352,49447,25626.45703125,0.518261108484842,49028,23685.63671875,0.483104281609488
3353,67009,35220.0390625,0.52560162161053,66980,33972.15234375,0.50719845242983
3354,14389,7626.87158203125,0.530048758220255,14382,7103.91748046875,0.493945034102959
3355,60073,32663.30078125,0.543726812066153,59215,31749.69921875,0.536176631237862
3356,27409,14522.720703125,0.529852263968952,27265,13816.4482421875,0.506746680439666
3357,57947,30540.517578125,0.527042255476988,56683,28680.63671875,0.505983041101388
3358,48211,25208.421875,0.522876975690195,47553,23368.3671875,0.491417306741951
3359,63783,34250.86328125,0.536990472088958,63111,32263.212890625,0.51121378033346
3360,30527,15605.978515625,0.511218872330232,30121,14880.4365234375,0.494021995399804
3361,48657,25766.904296875,0.529562124604373,48443,25274.20703125,0.5217308389499
3401,20621,10918.24609375,0.529472193091994,20621,10450.8603515625,0.506806670460332
3402,33544,18128.1484375,0.540428942210231,32829,16872.52734375,0.513951912752444
3403,86252,51070.52734375,0.592108326111279,85654,51372.390625,0.599766392988068
3404,97652,54021.9765625,0.553209115660714,96403,54980.765625,0.570322143761086
3405,31126,16684.705078125,0.53603755953624,29935,15663.884765625,0.523263229184065
3451,44477,22206.748046875,0.49928610398352,44477,21674.390625,0.487316829484902
3452,61223,32731.888671875,0.534633857731163,60806,30744.19140625,0.505611147029076
3453,68656,34939.72265625,0.50890996644503,67829,31571.279296875,0.465453998980893
3454,142388,73912.0234375,0.519088851851982,142299,70096.90625,0.492602943450059
3455,29684,15968.5361328125,0.537950954480949,29685,15283.9765625,0.514872041856156
3456,51432,26650.802734375,0.518175508134527,50779,25286.72265625,0.497975987243742
3457,48840,26021.0390625,0.532781307585995,48840,24754.869140625,0.506856452510749
